temp_id,nmbr_f_,center_x,center_y,level
1248,0,119.575,22.89583422,1
1249,0,119.625,22.89583422,1
1250,0,119.675,22.89583422,1
1251,0,119.725,22.89583422,1
1253,0,119.825,22.89583422,1
1256,0,119.975,22.89583422,1
1287,0,121.525,22.89583422,1
1288,0,121.575,22.89583422,1
1289,0,121.625,22.89583422,1
1291,0,121.725,22.89583422,1
1292,0,119.375,22.93750089,1
1293,0,119.425,22.93750089,1
1296,0,119.575,22.93750089,1
1297,0,119.625,22.93750089,1
1298,0,119.675,22.93750089,1
1299,0,119.725,22.93750089,1
1300,0,119.775,22.93750089,1
1301,0,119.825,22.93750089,1
1302,0,119.875,22.93750089,1
1333,0,121.425,22.93750089,1
1334,0,121.475,22.93750089,1
1339,0,121.725,22.93750089,1
1341,0,119.375,22.97916756,1
1342,0,119.425,22.97916756,1
1343,0,119.475,22.97916756,1
1346,0,119.625,22.97916756,1
1347,0,119.675,22.97916756,1
1349,0,119.775,22.97916756,1
1351,0,119.875,22.97916756,1
1382,0,121.425,22.97916756,1
1387,0,121.675,22.97916756,1
1388,0,121.725,22.97916756,1
1389,0,119.275,23.02083422,1
1390,0,119.325,23.02083422,1
1391,0,119.375,23.02083422,1
1393,0,119.475,23.02083422,1
1394,0,119.525,23.02083422,1
1395,0,119.575,23.02083422,1
1397,0,119.675,23.02083422,1
1398,0,119.725,23.02083422,1
1399,0,119.775,23.02083422,1
1400,0,119.825,23.02083422,1
1401,0,119.875,23.02083422,1
1437,0,121.675,23.02083422,1
1438,0,121.725,23.02083422,1
1439,0,119.225,23.06250089,1
1440,0,119.275,23.06250089,1
1441,0,119.325,23.06250089,1
1442,0,119.375,23.06250089,1
1443,0,119.425,23.06250089,1
1445,0,119.525,23.06250089,1
1447,0,119.625,23.06250089,1
1448,0,119.675,23.06250089,1
1487,0,121.625,23.06250089,1
1488,0,121.675,23.06250089,1
1490,0,119.225,23.10416756,1
1492,0,119.325,23.10416756,1
1493,0,119.375,23.10416756,1
1495,0,119.475,23.10416756,1
1497,0,119.575,23.10416756,1
1498,0,119.625,23.10416756,1
1499,0,119.675,23.10416756,1
1500,0,119.725,23.10416756,1
1502,0,119.825,23.10416756,1
1540,0,121.725,23.10416756,1
1541,0,119.175,23.14583423,1
1542,0,119.225,23.14583423,1
1543,0,119.275,23.14583423,1
1544,0,119.325,23.14583423,1
1547,0,119.475,23.14583423,1
1548,0,119.525,23.14583423,1
1549,0,119.575,23.14583423,1
1550,0,119.625,23.14583423,1
1551,0,119.675,23.14583423,1
1552,0,119.725,23.14583423,1
1553,0,119.775,23.14583423,1
1590,0,121.625,23.14583423,1
1592,0,121.725,23.14583423,1
1593,0,119.125,23.18750089,1
1596,0,119.275,23.18750089,1
1597,0,119.325,23.18750089,1
1598,0,119.375,23.18750089,1
1608,0,119.875,23.18750089,1
1609,0,119.925,23.18750089,1
